,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
CodeLlama-34b-Instruct-hf-t0.0--CodeLlama-34b-Instruct-hf-t0.0,9.27,33.57,27.62,0.0,,,0.0,,,100.0,33.89,47.47,51.67,51.61,50.8,56.67,0.0,0.0,26.67,25.0,46.29,0.0,,
Llama-3-70b-Instruct-t0.0--Llama-3-70b-Instruct-t0.0,33.75,79.52,42.44,0.0,,,100.0,84.4,13.57,100.0,63.33,48.32,93.33,68.75,39.19,83.33,2.27,6.29,96.67,13.22,31.93,83.33,22.67,36.84
Llama-3-8b-Instruct-t0.0--Llama-3-8b-Instruct-t0.0,21.76,75.81,28.7,0.0,,,94.0,59.96,29.9,100.0,48.33,50.11,100.0,38.33,44.82,93.33,1.79,6.56,83.33,14.8,33.8,60.0,8.98,24.07
Mistral-7B-Instruct-v0.1-t0.0--Mistral-7B-Instruct-v0.1-t0.0,4.93,27.7,17.79,0.0,,,20.0,1.21,2.58,33.89,36.07,48.42,100.0,31.67,45.07,0.0,,,23.33,0.0,0.0,16.67,20.0,44.72
Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,15.76,52.14,30.22,0.0,,,0.0,,,100.0,66.11,47.47,58.33,40.0,49.71,96.67,0.0,0.0,60.0,15.0,33.3,50.0,30.0,41.4
Mixtral-8x7B-Instruct-v0.1-t0.0--Mixtral-8x7B-Instruct-v0.1-t0.0,9.65,39.53,24.41,0.0,,,0.0,,,5.0,77.78,44.1,51.67,9.68,30.05,96.67,0.0,0.0,76.67,19.13,35.28,46.67,15.48,36.08
Qwen1.5-0.5B-Chat-t0.0--Qwen1.5-0.5B-Chat-t0.0,0.12,25.72,0.48,0.0,,,0.0,,,0.0,,,86.67,1.92,13.87,46.67,0.0,0.0,40.0,0.0,0.0,6.67,0.0,0.0
Qwen1.5-1.8B-Chat-t0.0--Qwen1.5-1.8B-Chat-t0.0,0.0,15.24,0.0,0.0,,,0.0,,,0.0,,,93.33,0.0,0.0,0.0,,,10.0,0.0,0.0,3.33,0.0,
Qwen1.5-14B-Chat-t0.0--Qwen1.5-14B-Chat-t0.0,16.42,40.95,40.09,30.0,20.58,14.69,0.0,,,100.0,38.89,48.89,46.67,41.07,47.25,90.0,0.0,0.0,16.67,40.0,54.77,3.33,100.0,
Qwen1.5-32B-Chat-t0.0--Qwen1.5-32B-Chat-t0.0,17.99,63.69,28.24,67.5,42.15,29.29,20.0,35.52,9.63,100.0,41.11,49.34,61.67,42.79,47.39,93.33,0.0,0.0,60.0,16.85,33.34,43.33,19.23,38.4
Qwen1.5-7B-Chat-t0.0--Qwen1.5-7B-Chat-t0.0,2.1,16.82,12.48,0.0,,,0.0,,,6.11,36.36,50.45,98.33,13.56,33.26,0.0,,,10.0,0.0,0.0,3.33,0.0,
SUS-Chat-34B-t0.0--SUS-Chat-34B-t0.0,11.6,54.4,21.32,2.5,29.0,,20.0,0.0,0.0,100.0,37.78,48.62,98.33,52.26,45.64,93.33,0.0,0.0,43.33,23.08,43.85,23.33,7.14,18.9
WizardLM-13b-v1.2-t0.0--WizardLM-13b-v1.2-t0.0,6.22,27.11,22.94,0.0,,,42.0,10.11,21.96,12.78,34.78,48.7,35.0,64.29,45.12,26.67,0.0,0.0,53.33,6.25,25.0,20.0,22.22,40.37
WizardLM-70b-v1.0-t0.0--WizardLM-70b-v1.0-t0.0,13.49,46.19,29.21,0.0,,,0.0,,,100.0,39.44,49.01,56.67,70.59,44.58,73.33,0.0,0.0,56.67,17.84,34.09,36.67,18.18,40.45
Yi-34B-Chat-t0.0--Yi-34B-Chat-t0.0,12.16,40.86,29.77,35.0,9.07,10.84,26.0,8.02,17.17,3.33,100.0,0.0,68.33,41.46,49.88,83.33,0.0,0.0,43.33,26.92,43.85,26.67,22.92,36.66
claude-2.1-t0.0--claude-2.1-t0.0,31.0,82.14,37.74,0.0,,,100.0,74.92,26.26,100.0,43.33,49.69,95.0,64.91,45.93,96.67,3.85,8.99,86.67,21.6,39.58,96.67,17.82,35.34
claude-3-haiku-20240307-t0.0--claude-3-haiku-20240307-t0.0,25.8,79.52,32.44,0.0,,,100.0,50.46,34.83,100.0,42.22,49.53,63.33,78.95,32.11,100.0,0.0,0.0,100.0,8.44,21.27,93.33,14.58,31.64
claude-3-opus-20240229-t0.0--claude-3-opus-20240229-t0.0,47.52,83.1,57.18,0.0,,,100.0,95.32,6.4,100.0,76.11,42.76,88.33,83.65,32.11,100.0,10.11,12.22,96.67,46.09,38.59,96.67,31.78,35.15
claude-3-sonnet-20240229-t0.0--claude-3-sonnet-20240229-t0.0,36.1,85.24,42.35,0.0,,,100.0,60.81,25.28,100.0,71.67,45.19,100.0,73.61,36.73,100.0,5.39,10.29,100.0,20.5,33.65,96.67,22.13,33.35
codegemma-7b-it-t0.0--codegemma-7b-it-t0.0,8.82,46.79,18.84,0.0,,,42.0,0.0,0.0,45.56,32.93,47.28,83.33,26.0,44.31,96.67,0.0,0.0,43.33,14.1,30.31,16.67,40.0,54.77
command-r-plus-t0.0--command-r-plus-t0.0,23.71,74.9,31.65,0.0,,,,,,99.44,40.22,49.17,63.33,67.11,45.44,100.0,6.33,18.96,93.33,26.79,37.91,93.33,17.8,32.58
command-r-t0.0--command-r-t0.0,15.2,59.72,25.45,0.0,,,,,,88.33,35.85,48.11,63.33,44.74,47.63,93.33,0.0,0.0,66.67,30.0,44.13,46.67,16.67,36.4
gemma-1.1-2b-it-t0.0--gemma-1.1-2b-it-t0.0,2.81,12.3,22.87,0.0,,,0.0,,,27.78,60.0,49.49,45.0,14.81,36.2,0.0,,,6.67,0.0,0.0,6.67,16.66,23.57
gemma-1.1-7b-it-t0.0--gemma-1.1-7b-it-t0.0,9.22,49.67,18.56,0.0,,,6.0,10.83,10.1,100.0,32.78,47.07,35.0,52.38,51.18,73.33,0.0,0.0,76.67,6.52,22.88,56.67,8.82,26.43
gemma-7b-it-t0.0--gemma-7b-it-t0.0,2.47,17.78,13.92,0.0,,,0.0,,,97.78,55.68,49.82,0.0,,,3.33,0.0,,3.33,0.0,,20.0,0.0,0.0
gpt-3.5-turbo-0125-t0.0--gpt-3.5-turbo-0125-t0.0,31.57,89.67,35.21,70.0,64.18,29.33,96.0,36.7,31.04,100.0,37.22,48.47,68.33,73.17,41.98,100.0,0.0,0.0,96.67,24.25,40.95,96.67,10.92,27.56
gpt-4-0125-preview-t0.0--gpt-4-0125-preview-t0.0,59.14,94.92,62.31,100.0,99.6,1.53,100.0,90.22,6.92,99.44,89.94,30.16,75.0,93.33,20.23,100.0,11.61,13.23,100.0,33.17,42.87,90.0,18.33,32.69
gpt-4-0613-t0.0--gpt-4-0613-t0.0,57.94,94.88,61.07,77.5,98.19,10.06,100.0,97.33,4.12,100.0,91.11,28.54,86.67,79.81,33.22,100.0,4.0,9.64,100.0,36.78,40.4,100.0,20.28,29.17
gpt-4-1106-preview-t0.0--gpt-4-1106-preview-t0.0,58.44,98.1,59.57,95.0,94.34,10.24,100.0,87.08,10.69,100.0,82.22,38.34,91.67,83.94,29.57,100.0,6.22,11.05,100.0,29.0,39.53,100.0,34.22,39.55
llama-2-70b-chat-hf-t0.0--llama-2-70b-chat-hf-t0.0,0.25,1.27,20.0,0.0,,,0.0,,,5.56,40.0,51.64,0.0,,,0.0,,,3.33,0.0,,0.0,,
mistral-large-2402-t0.0--mistral-large-2402-t0.0,33.14,66.86,49.57,0.0,,,98.0,77.07,27.28,100.0,72.22,44.92,60.0,88.89,31.87,63.33,2.63,11.47,83.33,26.8,36.21,63.33,29.82,40.57
mistral-medium-2312-t0.0--mistral-medium-2312-t0.0,17.46,49.17,35.51,0.0,,,22.0,15.28,24.12,75.56,61.76,48.78,30.0,88.89,32.34,80.0,0.0,0.0,83.33,26.8,42.67,53.33,20.31,40.02
openchat-3.5-0106-t0.0--openchat-3.5-0106-t0.0,12.88,52.57,24.51,35.0,0.86,3.21,98.0,56.86,23.59,100.0,37.22,48.47,65.0,64.1,48.6,10.0,0.0,0.0,40.0,12.5,31.08,20.0,0.0,0.0
openchat-3.5-1210-t0.0--openchat-3.5-1210-t0.0,14.12,51.19,27.58,15.0,3.17,7.76,80.0,60.82,24.23,100.0,34.44,47.65,40.0,66.67,48.15,46.67,0.0,0.0,53.33,20.83,40.14,23.33,7.14,18.9
openchat_3.5-t0.0--openchat_3.5-t0.0,20.47,63.52,32.22,50.0,8.7,11.65,38.0,73.36,22.12,100.0,38.89,48.89,100.0,45.0,49.32,90.0,0.0,0.0,36.67,15.15,31.14,30.0,44.44,52.7
sheep-duck-llama-2-13b-t0.0--sheep-duck-llama-2-13b-t0.0,8.37,31.9,26.24,0.0,,,0.0,,,96.67,39.08,48.93,83.33,4.0,19.79,0.0,,,23.33,28.57,48.8,20.0,33.33,51.64
sheep-duck-llama-2-70b-v1.1-t0.0--sheep-duck-llama-2-70b-v1.1-t0.0,18.07,41.19,43.87,0.0,,,0.0,,,100.0,41.67,49.44,55.0,90.91,29.19,60.0,0.0,0.0,43.33,42.31,44.94,30.0,44.44,46.4
tulu-2-dpo-70b-t0.0--tulu-2-dpo-70b-t0.0,14.94,49.76,30.03,0.0,,,0.0,,,100.0,40.0,49.13,68.33,68.29,47.11,80.0,0.0,0.0,53.33,16.88,29.83,46.67,25.0,42.74
vicuna-13b-v1.5-t0.0--vicuna-13b-v1.5-t0.0,9.3,39.44,23.59,0.0,,,20.0,20.27,8.84,99.44,35.2,47.89,46.67,60.71,49.73,53.33,0.0,0.0,36.67,21.21,40.2,20.0,4.17,10.21
vicuna-33b-v1.3-t0.0--vicuna-33b-v1.3-t0.0,12.99,23.18,56.04,0.0,,,0.0,,,95.56,34.88,47.8,46.67,89.29,31.5,0.0,,,10.0,16.67,28.87,10.0,83.33,28.87
