,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","adventuregame, Quality Score (std)","all, Average % Played","all, Average Quality Score","codenames, % Played","codenames, Quality Score","codenames, Quality Score (std)","guesswhat, % Played","guesswhat, Quality Score","guesswhat, Quality Score (std)","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_graphreasoning, Quality Score (std)","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","textmapworld_specificroom, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
Llama-3.3-70B-Instruct-t0.0--Llama-3.3-70B-Instruct-t0.0,47.68,95.31,60.16,41.42,75.02,63.55,80.0,36.54,48.39,88.33,37.74,31.38,90.0,87.52,14.06,80.0,71.88,45.68,100.0,86.75,18.14,100.0,60.0,49.26,100.0,55.28,42.13,100.0,68.02,10.18,26.67,54.32,5.97,86.67,100.0,0.0,70.0,2.38,7.68,23.33,69.05,29.55,10.0,100.0,0.0
Meta-Llama-3.1-70B-Instruct-t0.0--Meta-Llama-3.1-70B-Instruct-t0.0,48.2,94.53,62.76,40.69,78.73,61.22,90.0,41.03,49.4,85.0,25.49,18.36,93.33,87.66,15.53,95.0,60.53,49.54,100.0,83.88,17.21,100.0,75.56,43.22,91.67,65.45,42.53,96.0,69.81,9.04,50.0,53.02,6.36,93.33,100.0,0.0,90.0,1.85,6.81,6.67,50.0,70.71,16.67,80.0,44.72
Meta-Llama-3.1-8B-Instruct-t0.0--Meta-Llama-3.1-8B-Instruct-t0.0,28.05,46.09,40.1,42.32,56.72,49.46,52.31,27.94,45.2,91.67,13.33,18.81,63.33,54.34,19.1,90.0,69.44,46.72,62.0,53.11,14.94,100.0,35.56,48.14,93.33,31.85,40.49,22.0,55.54,11.56,40.0,49.19,12.53,63.33,100.0,0.0,50.0,2.0,7.75,16.67,60.0,41.83,3.33,100.0,
Mistral-Small-24B-Instruct-2501-t0.0--Mistral-Small-24B-Instruct-2501-t0.0,32.63,82.81,50.78,40.33,60.96,53.53,62.31,29.63,45.95,85.0,28.1,30.82,15.0,84.0,24.37,100.0,80.0,40.51,40.0,43.98,30.07,100.0,65.56,47.78,98.33,53.11,43.16,100.0,62.95,12.37,6.67,49.41,13.31,73.33,100.0,0.0,43.33,7.69,27.74,33.33,56.67,40.98,13.33,37.5,47.87
OLMo-2-1124-13B-Instruct-t0.0--OLMo-2-1124-13B-Instruct-t0.0,11.08,14.84,3.65,12.0,27.32,40.56,12.31,18.75,40.31,5.0,0.0,0.0,0.0,,,100.0,77.5,42.29,0.0,,,100.0,35.56,48.14,68.33,47.15,48.72,32.0,48.57,13.24,0.0,,,50.0,93.33,25.82,0.0,,,0.0,,,0.0,,
QwQ-32B-Preview-t0.0--QwQ-32B-Preview-t0.0,5.69,10.94,4.69,20.38,10.12,56.2,0.77,100.0,,0.0,,,0.0,,,95.0,76.32,43.09,0.0,,,0.0,,,25.0,0.0,0.0,0.0,,,0.0,,,10.0,100.0,0.0,0.0,,,0.0,,,0.0,,
Qwen2-72B-Instruct-t0.0--Qwen2-72B-Instruct-t0.0,43.55,58.59,49.48,42.45,66.46,65.53,58.46,35.53,48.18,88.33,72.33,37.4,0.0,,,100.0,57.5,50.06,94.0,71.88,23.68,100.0,71.11,45.58,88.33,73.27,40.21,96.0,67.98,8.7,56.67,63.11,9.19,80.0,100.0,0.0,63.33,14.74,32.72,20.0,87.5,30.62,26.67,87.5,35.36
Qwen2.5-72B-Instruct-t0.0--Qwen2.5-72B-Instruct-t0.0,48.61,58.59,49.22,39.9,76.97,63.16,72.31,41.49,49.53,88.33,58.49,40.25,43.33,91.5,10.41,100.0,80.0,40.51,100.0,43.62,30.55,100.0,71.11,45.58,88.33,73.27,40.21,100.0,64.4,13.65,76.67,56.85,13.59,86.67,100.0,0.0,86.67,6.92,22.05,36.67,68.18,38.34,40.0,79.17,33.43
Qwen2.5-7B-Instruct-t0.0--Qwen2.5-7B-Instruct-t0.0,16.38,15.62,11.72,23.14,38.86,42.15,21.54,28.57,46.0,43.33,39.74,42.18,1.67,0.0,,92.5,83.78,37.37,2.0,88.89,,100.0,37.78,48.75,100.0,29.44,42.23,84.0,61.37,13.62,6.67,36.67,4.71,66.67,80.0,41.04,3.33,0.0,,0.0,,,6.67,50.0,70.71
Qwen2.5-Coder-32B-Instruct-t0.0--Qwen2.5-Coder-32B-Instruct-t0.0,35.98,60.94,57.55,40.28,70.35,51.15,62.31,33.33,47.43,93.33,38.1,47.32,0.0,,,85.0,67.65,47.49,100.0,50.9,27.53,100.0,64.44,48.14,96.67,56.32,46.5,100.0,68.45,11.57,56.67,60.27,10.15,80.0,95.83,20.41,66.67,5.0,13.18,43.33,36.54,46.34,40.0,30.55,43.71
Qwen2.5-Coder-7B-Instruct-t0.0--Qwen2.5-Coder-7B-Instruct-t0.0,17.17,1.56,1.3,7.72,47.53,36.12,3.85,40.0,54.77,75.0,27.41,35.74,60.0,13.89,26.38,100.0,50.0,50.64,0.0,,,100.0,36.67,48.46,78.33,25.53,42.82,100.0,50.13,21.68,53.33,42.7,20.23,76.67,65.22,48.7,3.33,0.0,,6.67,50.0,70.71,6.67,66.66,47.14
aya-expanse-32b-t0.0--aya-expanse-32b-t0.0,22.65,18.75,2.34,9.52,46.52,48.69,16.15,38.1,49.76,0.0,,,0.0,,,100.0,75.0,43.85,70.0,53.73,31.88,100.0,35.56,48.14,45.0,48.15,50.92,88.0,51.13,22.17,80.0,53.57,13.55,100.0,63.33,49.01,10.0,33.33,57.74,16.67,80.0,44.72,6.67,50.0,70.71
claude-3-5-sonnet-20241022-t0.0--claude-3-5-sonnet-20241022-t0.0,63.83,92.97,76.3,38.6,85.13,74.98,93.85,50.0,50.21,100.0,67.78,43.81,96.67,98.26,5.24,100.0,87.5,33.49,100.0,92.41,9.24,100.0,93.33,25.08,61.67,80.18,28.56,100.0,89.5,12.12,50.0,78.02,13.59,100.0,96.67,18.26,70.0,26.67,31.2,53.33,65.1,34.19,73.33,48.03,43.14
claude-3-7-sonnet-20250219-t0.0--claude-3-7-sonnet-20250219-t0.0,65.85,96.88,84.9,33.43,80.45,81.85,96.92,52.38,50.14,100.0,66.11,36.04,95.0,100.0,0.0,97.5,97.44,16.01,100.0,96.51,5.36,100.0,98.89,10.54,46.67,94.64,15.75,100.0,79.16,10.92,96.67,76.35,9.53,100.0,96.67,18.26,73.33,44.55,25.02,13.33,75.0,28.87,10.0,83.33,28.87
deepseek-r1-t0.0--deepseek-r1-t0.0,45.38,,,,85.38,53.15,85.38,53.15,50.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-v3-t0.0--deepseek-v3-t0.0,53.26,87.5,64.84,39.97,84.72,62.87,86.92,38.94,48.98,81.67,61.9,47.14,0.0,,,100.0,82.5,38.48,100.0,30.97,31.97,100.0,91.11,28.62,90.0,48.46,49.13,100.0,76.35,12.48,96.67,63.74,15.04,100.0,100.0,0.0,100.0,25.67,34.21,73.33,60.61,41.0,70.0,72.22,38.85
gemini-2.0-flash-exp-t0.0--gemini-2.0-flash-exp-t0.0,47.89,67.97,50.52,44.66,75.12,63.75,96.15,39.2,49.02,100.0,35.56,40.18,50.0,98.8,4.69,32.5,84.62,37.55,100.0,54.93,34.45,100.0,82.22,38.45,98.33,76.27,32.19,0.0,,,100.0,71.96,14.51,76.67,100.0,0.0,80.0,14.58,24.49,83.33,50.8,45.54,66.67,69.33,39.15
gemma-2-9b-it-t0.0--gemma-2-9b-it-t0.0,1.03,89.06,27.86,33.14,7.43,13.93,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,15.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,60.45,94.53,71.61,36.96,86.07,70.23,93.85,48.36,50.18,91.67,72.12,36.72,0.0,,,100.0,85.0,36.16,100.0,87.25,10.12,100.0,88.89,31.6,98.33,75.99,33.8,100.0,72.45,12.88,56.67,66.6,13.37,93.33,100.0,0.0,93.33,25.0,30.97,93.33,61.43,39.16,90.0,58.27,41.19
llama-3.1-405b-t0.0--llama-3.1-405b-t0.0,52.83,71.09,62.24,41.06,77.96,67.76,76.15,38.38,48.88,96.67,45.4,40.32,91.67,96.4,7.86,27.5,100.0,0.0,100.0,91.24,18.98,100.0,76.67,42.53,91.67,68.18,41.98,100.0,75.06,10.36,13.33,61.04,16.05,100.0,100.0,0.0,86.67,4.62,11.04,76.67,66.67,40.75,60.0,62.68,37.5
mistral-large-2411-t0.0--mistral-large-2411-t0.0,40.52,55.47,53.91,40.58,64.66,62.67,92.31,40.0,49.2,90.0,47.53,44.68,76.67,87.91,15.77,87.5,68.57,47.1,6.0,79.63,8.02,100.0,70.0,46.08,83.33,65.33,38.37,24.0,70.75,16.57,96.67,61.04,12.97,83.33,100.0,0.0,63.33,11.05,25.14,30.0,66.67,40.83,16.67,55.0,44.72
o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,68.53,85.94,79.69,37.23,87.87,77.99,100.0,49.23,50.19,96.67,88.51,28.99,1.67,100.0,,52.5,100.0,0.0,100.0,86.46,9.22,100.0,100.0,0.0,100.0,73.61,36.73,100.0,65.83,13.01,96.67,64.0,16.55,96.67,100.0,0.0,100.0,55.33,32.56,100.0,66.22,31.38,100.0,63.0,34.77
phi-4-t0.0--phi-4-t0.0,5.78,75.78,20.31,33.26,17.68,32.71,0.0,,,0.0,,,0.0,,,0.0,,,100.0,35.53,30.72,40.0,75.0,43.92,31.67,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
qwen-max-t0.0--qwen-max-t0.0,55.58,90.62,68.75,38.96,84.45,65.82,70.0,36.26,48.34,98.33,46.89,43.38,0.0,,,100.0,77.5,42.29,100.0,97.03,7.13,100.0,87.78,32.94,100.0,58.89,43.45,100.0,78.99,14.42,100.0,76.12,10.46,96.67,100.0,0.0,83.33,16.8,29.96,83.33,56.27,39.88,60.0,54.35,41.28
